Entity,Code,Year,GDP (constant 2015 US$)
Slovenia,SVN,2020,48144052224
Solomon Islands,SLB,2020,1467403264
Somalia,SOM,2020,7069120000
South Africa,ZAF,2020,335640166400
South Asia,,2020,3235660169216
South Korea,KOR,2020,1623895048192
Spain,ESP,2020,1181205135360
Sri Lanka,LKA,2020,88832163840
Sub-Saharan Africa,,2020,1797727715328
Sudan,SDN,2020,49449889792
Suriname,SUR,2020,4417127424
Sweden,SWE,2020,533611839488
Switzerland,CHE,2020,740026220544
Tajikistan,TJK,2020,11436204032
Tanzania,TZA,2020,61522710528
Thailand,THA,2020,432649175040
Timor,TLS,2020,2093497600
Togo,TGO,2020,5187639296
Tonga,TON,2020,489364576
Trinidad and Tobago,TTO,2020,20813758464
Tunisia,TUN,2020,44681502720
Turkey,TUR,2020,1015326638080
Turks and Caicos Islands,TCA,2020,802388544
Tuvalu,TUV,2020,44708880
Uganda,UGA,2020,40768765952
Ukraine,UKR,2020,97866342400
United Arab Emirates,ARE,2020,370866192384
United Kingdom,GBR,2020,2891615567872
United States,USA,2020,19294482071552
Upper middle income,,2020,23696597057536
Uruguay,URY,2020,52260970496
Uzbekistan,UZB,2020,107981856768
Vanuatu,VUT,2020,810535808
Vietnam,VNM,2020,258508668928
World,OWID_WRL,2020,81830090899456
Zambia,ZMB,2020,23418945536
Zimbabwe,ZWE,2020,19426048000
